id,Tournament,Year,Captain,Player,Pick Order,Rank
1,Summer,2020,abrahampark#NA1,Brishin#bris,1,9.0
2,Summer,2020,Liquid Blade#4th,KocLV#FREE,2,7.0
3,Summer,2020,War Koala#1650,GayWhy#SG2,3,7.0
4,Summer,2020,Maedre the Flame#NA1,bootlane#NA1,4,4.0
5,Summer,2020,yabuo#BUO,youn9#NA3,5,10.0
6,Summer,2020,JLu TFT#NA1,hiyalolhi,6,7.0
7,Summer,2020,Dark Star#FFG,Bloodyninja1122#NA1,7,3.0
8,Summer,2020,xPhanpy#dil,rlylost#NA1,8,5.0
9,Summer,2020,Xemacs#LOR,Sober Teddy#NA1,9,2.0
10,Summer,2020,king kang#HUGE,RichGamebuddy#NA1,10,1.0
11,Summer,2020,king kang#HUGE,SK Telecom T1#Faker,11,1.0
12,Summer,2020,Xemacs#LOR,benbooee#BEN,12,2.0
13,Summer,2020,xPhanpy#dil,Feiro#NA1,13,5.0
14,Summer,2020,Dark Star#FFG,Kraber#1tap,14,3.0
15,Summer,2020,JLu TFT#NA1,FreshPie,15,7.0
16,Summer,2020,yabuo#BUO,not Nika#NIKI,16,10.0
17,Summer,2020,Maedre the Flame#NA1,feedingsensation,17,4.0
18,Summer,2020,War Koala#1650,Voidliss#NA1,18,7.0
19,Summer,2020,Liquid Blade#4th,Chikenbagelz#NA1,19,7.0
20,Summer,2020,abrahampark#NA1,Mrcoconutty,20,9.0
21,Summer,2020,abrahampark#NA1,kingslayer#beep,21,9.0
22,Summer,2020,Liquid Blade#4th,El Keepo#NA1,22,7.0
23,Summer,2020,War Koala#1650,yeezyhan#TWICE,23,7.0
24,Summer,2020,Maedre the Flame#NA1,greenepic#NA1,24,4.0
25,Summer,2020,yabuo#BUO,ZCX#NA1,25,10.0
26,Summer,2020,JLu TFT#NA1,baober#bao,26,7.0
27,Summer,2020,Dark Star#FFG,FirstSeraph#NA1,27,3.0
28,Summer,2020,xPhanpy#dil,Inspiring#309,28,5.0
29,Summer,2020,Xemacs#LOR,Funk#02468,29,2.0
30,Summer,2020,king kang#HUGE,Zeteo#NA1,30,1.0
31,Summer,2020,king kang#HUGE,entropy#NA0,31,1.0
32,Summer,2020,Xemacs#LOR,WarAndPeace1812,32,2.0
33,Summer,2020,xPhanpy#dil,Arachnobat#LOR,33,5.0
34,Summer,2020,Dark Star#FFG,Cherry Boba,34,3.0
35,Summer,2020,JLu TFT#NA1,Cardinal#7333,35,7.0
36,Summer,2020,yabuo#BUO,Shrekcellent#NA1,36,10.0
37,Summer,2020,Maedre the Flame#NA1,LadyTree#TREE,37,4.0
38,Summer,2020,War Koala#1650,jbibbens3,38,7.0
39,Summer,2020,Liquid Blade#4th,Slaugherhouse 6#NA1,39,7.0
40,Summer,2020,abrahampark#NA1,FishmanChan#NA1,40,9.0
41,Summer,2021,Maedre the Flame#NA1,rlylost#NA1,1,1.0
42,Summer,2021,king kang#HUGE,SK Telecom T1#Faker,2,8.0
43,Summer,2021,JS Bach#NA1,Nightrise3#NA1,3,8.0
44,Summer,2021,xPhanpy#dil,Bloodyninja1122#NA1,4,3.5
45,Summer,2021,Yeetor#0828,RichGamebuddy#NA1,5,2.0
46,Summer,2021,Voidliss#NA1,Liquid Blade#4th,6,3.5
47,Summer,2021,Sober Teddy#NA1,Feiro#NA1,7,8.0
48,Summer,2021,Kiny#0001,bootlane#NA1,8,5.5
49,Summer,2021,Xemacs#LOR,Inspiring#309,9,10.0
50,Summer,2021,MangoStalker,Brishin#bris,10,5.5
51,Summer,2021,MangoStalker,KocLV#FREE,11,5.5
52,Summer,2021,Xemacs#LOR,War Koala#1650,12,10.0
53,Summer,2021,Kiny#0001,fook,13,5.5
54,Summer,2021,Sober Teddy#NA1,Ene#TFT,14,8.0
55,Summer,2021,Voidliss#NA1,police defunder#NA1,15,3.5
56,Summer,2021,Yeetor#0828,greenepic#NA1,16,2.0
57,Summer,2021,xPhanpy#dil,a midnight snack#DROCK,17,3.5
58,Summer,2021,JS Bach#NA1,Chikenbagelz#NA1,18,8.0
59,Summer,2021,king kang#HUGE,Shinefly,19,8.0
60,Summer,2021,Maedre the Flame#NA1,Kraber#1tap,20,1.0
