Year,Tournament,Match Stage,Match Order,Player,Champion,K,D,A
2026,Summer,Finals,11,Voidliss#NA1,Tristana,5,1,11
2026,Summer,Finals,11,Taco1518#NA1,Garen,4,0,5
2026,Summer,Finals,11,RichGamebuddy#NA1,Zac,2,0,13
2026,Summer,Finals,11,Ene#TFT,Akali,9,1,5
2026,Summer,Finals,11,maomer#bao,Nami,0,3,12
2026,Summer,Finals,11,ChaidyLarry#Larry,Trundle,0,3,0
2026,Summer,Finals,11,smile#dude,Hecarim,4,3,1
2026,Summer,Finals,11,SK Telecom T1#Faker,Hwei,0,4,1
2026,Summer,Finals,11,rlylost#NA1,Zyra,0,4,4
2026,Summer,Finals,11,LightningFst#1008,Thresh,1,6,3
2026,Summer,Finals,10,Voidliss#NA1,Ashe,4,1,16
2026,Summer,Finals,10,Taco1518#NA1,Fiora,8,0,6
2026,Summer,Finals,10,RichGamebuddy#NA1,Lillia,8,1,10
2026,Summer,Finals,10,Ene#TFT,Aurora,4,3,9
2026,Summer,Finals,10,maomer#bao,Seraphine,2,0,17
2026,Summer,Finals,10,ChaidyLarry#Larry,K'Sante,1,2,0
2026,Summer,Finals,10,smile#dude,Xin Zhao,1,7,1
2026,Summer,Finals,10,SK Telecom T1#Faker,Yone,1,7,2
2026,Summer,Finals,10,rlylost#NA1,Xerath,1,3,0
2026,Summer,Finals,10,LightningFst#1008,Nautilus,1,7,2
2026,Summer,Finals,9,Voidliss#NA1,Sivir,1,7,5
2026,Summer,Finals,9,Taco1518#NA1,Olaf,4,10,4
2026,Summer,Finals,9,RichGamebuddy#NA1,Nocturne,1,7,5
2026,Summer,Finals,9,Ene#TFT,Syndra,9,5,4
2026,Summer,Finals,9,maomer#bao,Braum,0,5,8
2026,Summer,Finals,9,ChaidyLarry#Larry,Kled,6,2,16
2026,Summer,Finals,9,smile#dude,Graves,16,3,8
2026,Summer,Finals,9,SK Telecom T1#Faker,Viktor,6,5,12
2026,Summer,Finals,9,rlylost#NA1,Veigar,4,4,20
2026,Summer,Finals,9,LightningFst#1008,Leona,1,1,16
2026,Summer,Semifinals,8,Voidliss#NA1,Zeri,6,6,7
2026,Summer,Semifinals,8,Taco1518#NA1,Jax,8,9,5
2026,Summer,Semifinals,8,RichGamebuddy#NA1,Wukong,2,3,8
2026,Summer,Semifinals,8,Ene#TFT,Zoe,7,2,5
2026,Summer,Semifinals,8,maomer#bao,Yuumi,0,5,12
2026,Summer,Semifinals,8,Zhangshi#9859,Renekton,2,5,6
2026,Summer,Semifinals,8,Xemacs#LOR,Kayn,4,5,12
2026,Summer,Semifinals,8,一見鍾情#1314,Ryze,11,2,9
2026,Summer,Semifinals,8,SnuggleHero#NA1,Veigar,7,7,8
2026,Summer,Semifinals,8,police defunder#NA1,Amumu,1,4,17
