Year,Tournament,Team 1,Team 2,Result
2026,Winter,Voidliss#NA1,SK Telecom T1#Faker,Voidliss#NA1
2026,Winter,Ene#TFT,SK Telecom T1#Faker,SK Telecom T1#Faker
2026,Winter,Voidliss#NA1,Xemacs#LOR,Voidliss#NA1
2026,Winter,SK Telecom T1#Faker,Xemacs#LOR,SK Telecom T1#Faker
2026,Winter,Ene#TFT,index#fngr,Ene#TFT
2026,Winter,Xemacs#LOR,index#fngr,Xemacs#LOR
2026,Winter,Voidliss#NA1,abrahampark#NA1,Voidliss#NA1
2026,Winter,SK Telecom T1#Faker,Ene#TFT,SK Telecom T1#Faker
2026,Winter,Ene#TFT,Xemacs#LOR,Ene#TFT
2026,Winter,abrahampark#NA1,index#fngr,abrahampark#NA1
2026,Winter,abrahampark#NA1,Ene#TFT,abrahampark#NA1
2026,Winter,SK Telecom T1#Faker,Voidliss#NA1,SK Telecom T1#Faker
2026,Winter,abrahampark#NA1,SK Telecom T1#Faker,SK Telecom T1#Faker
2026,Winter,Xemacs#LOR,Voidliss#NA1,Voidliss#NA1
2026,Winter,SK Telecom T1#Faker,index#fngr,SK Telecom T1#Faker
2026,Winter,Voidliss#NA1,Ene#TFT,Voidliss#NA1
2026,Winter,Voidliss#NA1,index#fngr,Voidliss#NA1
2026,Winter,abrahampark#NA1,Xemacs#LOR,Xemacs#LOR
2025,Summer,Voidliss#NA1,JS Bach#NA1,Voidliss#NA1
2025,Summer,JS Bach#NA1,Xemacs#LOR,JS Bach#NA1
2025,Summer,Voidliss#NA1,Salt Frog#NA1,Voidliss#NA1
2025,Summer,JS Bach#NA1,Xemacs#LOR,JS Bach#NA1
2025,Summer,Xemacs#LOR,Voidliss#NA1,Xemacs#LOR
2025,Summer,Kalesvol#DOOB,torpid7#777,torpid7#777
2025,Summer,Voidliss#NA1,Kiny#0001,Voidliss#NA1
2025,Summer,Xemacs#LOR,torpid7#777,Xemacs#LOR
2025,Summer,Kiny#0001,Xemacs#LOR,Kiny#0001
2025,Summer,Voidliss#NA1,Kalesvol#DOOB,Voidliss#NA1
2025,Summer,Kiny#0001,torpid7#777,Kiny#0001
2025,Summer,Xemacs#LOR,Kalesvol#DOOB,Xemacs#LOR
2025,Summer,Voidliss#NA1,torpid7#777,Voidliss#NA1
2025,Summer,Kiny#0001,Kalesvol#DOOB,Kiny#0001
2025,Summer,Feiro#NA1,No Love#NA1,Feiro#NA1
2025,Summer,JS Bach#NA1,MeguFace#69,JS Bach#NA1
2025,Summer,No Love#NA1,MeguFace#69,No Love#NA1
2025,Summer,Feiro#NA1,Salt Frog#NA1,Feiro#NA1
2025,Summer,No Love#NA1,Salt Frog#NA1,No Love#NA1
2025,Summer,JS Bach#NA1,Feiro#NA1,JS Bach#NA1
2025,Summer,MeguFace#69,Salt Frog#NA1,MeguFace#69
2025,Summer,JS Bach#NA1,No Love#NA1,JS Bach#NA1
2025,Summer,MeguFace#69,Salt Frog#NA1,MeguFace#69
2025,Summer,Feiro#NA1,MeguFace#69,Feiro#NA1
2025,Summer,JS Bach#NA1,Salt Frog#NA1,JS Bach#NA1
2025,Winter,sanxfel,abrahampark#NA1,abrahampark#NA1
2025,Winter,abrahampark#NA1,index#fngr,abrahampark#NA1
2025,Winter,sanxfel,Voidliss#NA1,sanxfel
2025,Winter,index#fngr,Voidliss#NA1,index#fngr
2025,Winter,sanxfel,abrahampark#NA1,sanxfel
2025,Winter,sanxfel,index#fngr,sanxfel
2025,Winter,Voidliss#NA1,Xemacs#LOR,Voidliss#NA1
2025,Winter,abrahampark#NA1,index#fngr,abrahampark#NA1
2025,Winter,sanxfel,Xemacs#LOR,sanxfel
2025,Winter,Xemacs#LOR,abrahampark#NA1,Xemacs#LOR
2025,Winter,sanxfel,Voidliss#NA1,sanxfel
2025,Winter,index#fngr,Xemacs#LOR,index#fngr
2025,Winter,abrahampark#NA1,Voidliss#NA1,abrahampark#NA1
2024,Summer,Voidliss#NA1,No Love#NA1,Voidliss#NA1
2024,Summer,Voidliss#NA1,abrahampark#NA1,Voidliss#NA1
2024,Summer,No Love#NA1,Kalesvol#DOOB,No Love#NA1
2024,Summer,Voidliss#NA1,No Love#NA1,Voidliss#NA1
2024,Summer,JS Bach#NA1,Yeetor#0828,JS Bach#NA1
2024,Summer,No Love#NA1,JS Bach#NA1,No Love#NA1
2024,Summer,Xemacs#LOR,Yeetor#0828,Xemacs#LOR
2024,Summer,Voidliss#NA1,Yeetor#0828,Voidliss#NA1
