raw_name,game_name,tag_line,region,attempts,last_error
A Gay Raccoon#RNG,A Gay Raccoon,RNG,americas,0,
ATM SammyS#ATM,ATM SammyS,ATM,americas,0,
Alexei#NA1,Alexei,NA1,americas,0,
AngusMcRib#DLLM,AngusMcRib,DLLM,americas,0,
Arachnobat#LOR,Arachnobat,LOR,americas,0,
Arckana#NA1,Arckana,NA1,americas,0,
Bloodyninja1122#NA1,Bloodyninja1122,NA1,americas,0,
Brishin#bris,Brishin,bris,americas,0,
Bunniie#1591,Bunniie,1591,americas,0,
C0L#NA1,C0L,NA1,americas,0,
Cardinal#7333,Cardinal,7333,americas,0,
Cherry Boba,,,americas,0,
Chikenbagelz#NA1,Chikenbagelz,NA1,americas,0,
CloaknRaven#NA1,CloaknRaven,NA1,americas,0,
Dark Star#FFG,Dark Star,FFG,americas,0,
DeMeatus#NA1,DeMeatus,NA1,americas,0,
Denevolent#12345,Denevolent,12345,americas,0,
El Keepo#NA1,El Keepo,NA1,americas,0,
Ene#TFT,Ene,TFT,americas,0,
Enelliel#NA1,Enelliel,NA1,americas,0,
Fabulous Yuma#NA1,Fabulous Yuma,NA1,americas,0,
Feiro#NA1,Feiro,NA1,americas,0,
FirstSeraph#NA1,FirstSeraph,NA1,americas,0,
FishmanChan#NA1,FishmanChan,NA1,americas,0,
FreshPie,,,americas,0,
Funk#02468,Funk,02468,americas,0,
GayWhy#SG2,GayWhy,SG2,americas,0,
Glick666#NA1,Glick666,NA1,americas,0,
Gwendolyn#Stacy,Gwendolyn,Stacy,americas,0,
HEHEHEHA,,,americas,0,
Ho Lee Fok#6969,Ho Lee Fok,6969,americas,0,
Inspiring#309,Inspiring,309,americas,0,
Ixtali Princess#Diva,Ixtali Princess,Diva,americas,0,
JLu TFT#NA1,JLu TFT,NA1,americas,0,
Jirachi#bee,Jirachi,bee,americas,0,
KocLV#FREE,KocLV,FREE,americas,0,
Korobasne#NA1,Korobasne,NA1,americas,0,
Kraber#1tap,Kraber,1tap,americas,0,
LadyTree#TREE,LadyTree,TREE,americas,0,
LightBulb5942,,,americas,0,
LightningFst#1008,LightningFst,1008,americas,0,
Liquid Blade#4th,Liquid Blade,4th,americas,0,
MENTAL MOUNTAIN#KEN,MENTAL MOUNTAIN,KEN,americas,0,
Maglor1125#NA1,Maglor1125,NA1,americas,0,
MemeMachine#514,MemeMachine,514,americas,0,
Mrcoconutty,,,americas,0,
Neznam,,,americas,0,
Nightrise3#NA1,Nightrise3,NA1,americas,0,
Ninjalabib#NA1,Ninjalabib,NA1,americas,0,
No Love#NA1,No Love,NA1,americas,0,
NotElectro#3754,NotElectro,3754,americas,0,
Phishy Fish#NA1,Phishy Fish,NA1,americas,0,
PlightOfTheFlake#NA1,PlightOfTheFlake,NA1,americas,0,
Poopy Pants#madge,Poopy Pants,madge,americas,0,
RichGamebuddy#NA1,RichGamebuddy,NA1,americas,0,
SK Telecom T1#Faker,SK Telecom T1,Faker,americas,0,
Salamiface#000,Salamiface,000,americas,0,
Shinefly#1234,,,americas,0,
Shrekcellent#NA1,Shrekcellent,NA1,americas,0,
Slaugherhouse 6#NA1,Slaugherhouse 6,NA1,americas,0,
