name,captain
kingslayer#beep,
Kalesvol#DOOB,1
Zhangshi#9859,
ˇchooˇ#hehe,
Inspiring#309,
Ene#TFT,
Yeongeo#NA1,
bloodyninja1122#na1,
smile#dude,
Ixtali Princess#Diva,
MENTAL MOUNTAIN#KEN,
rlylost#na1,
sarcasm#riven,
LightningFst#1008,
Arachnobat#LOR,
Voidliss#NA1,1
DeMeatus#NA1,1
No Love#Na1,1
Cherki#3169,
police defunder#NA1,
一見鍾情#1314,
torpid7#777,1
Smiley Quokka #Smile,
MeguFace#69,1
Xemacs#LOR,
Kiny#0001,1
Taco1518#NA1,
koclv#FREE,
RichGamebuddy#NA1,
A Gay Raccoon#RNG,
SnuggleHero#NA1,
PlightOfTheFlake#NA1,
CloaknRaven#NA1,
War Koala#1650,
SK Telecom T1#Faker,1
dogeempire#dog,
baober#bao,
greenepic#NA1,
maomer#bao,
blizzardpenguin#NA1,
