id,group,value,region,date
1,Alpha,49.96,North,2026-01-01
2,Bravo,60.57,South,2026-01-02
3,Charlie,92.57,East,2026-01-03
4,Delta,88.02,West,2026-01-04
5,Echo,105.3,North,2026-01-05
6,Foxtrot,114.87,South,2026-01-06
7,Alpha,47.95,East,2026-01-07
8,Bravo,69.97,West,2026-01-08
9,Charlie,75.52,North,2026-01-09
10,Delta,97.65,South,2026-01-10
11,Echo,100.47,East,2026-01-11
12,Foxtrot,84.95,West,2026-01-12
13,Alpha,48.75,North,2026-01-13
14,Bravo,66.21,South,2026-01-14
15,Charlie,71.28,East,2026-01-15
16,Delta,84.02,West,2026-01-16
17,Echo,67.32,North,2026-01-17
18,Foxtrot,60.6,South,2026-01-18
19,Alpha,52.86,East,2026-01-19
20,Bravo,69.57,West,2026-01-20
21,Charlie,85.35,North,2026-01-21
22,Delta,86.54,South,2026-01-22
23,Echo,107.67,East,2026-01-23
24,Foxtrot,131.3,West,2026-01-24
25,Alpha,53.34,North,2026-01-25
26,Bravo,58.63,South,2026-01-26
27,Charlie,85.96,East,2026-01-27
28,Delta,67.69,West,2026-01-28
29,Echo,102.78,North,2026-01-29
30,Foxtrot,95.45,South,2026-01-30
31,Alpha,40.41,East,2026-01-31
32,Bravo,52.63,West,2026-02-01
33,Charlie,76.98,North,2026-02-02
34,Delta,100.16,South,2026-02-03
35,Echo,94.24,East,2026-02-04
36,Foxtrot,98.45,West,2026-02-05
37,Alpha,50.21,North,2026-02-06
38,Bravo,61.49,South,2026-02-07
39,Charlie,58.01,East,2026-02-08
40,Delta,81.85,West,2026-02-09
41,Echo,102.03,North,2026-02-10
42,Foxtrot,145.22,South,2026-02-11
43,Alpha,46.02,East,2026-02-12
44,Bravo,70.17,West,2026-02-13
45,Charlie,69.65,North,2026-02-14
46,Delta,61.4,South,2026-02-15
47,Echo,100.63,East,2026-02-16
48,Foxtrot,81.63,West,2026-02-17
49,Alpha,51.12,North,2026-02-18
50,Bravo,62.56,South,2026-02-19
51,Charlie,74.4,East,2026-02-20
52,Delta,73.45,West,2026-02-21
53,Echo,108.16,North,2026-02-22
54,Foxtrot,151.72,South,2026-02-23
55,Alpha,50.62,East,2026-02-24
56,Bravo,58.45,West,2026-02-25
57,Charlie,104.2,North,2026-02-26
58,Delta,74.14,South,2026-02-27
59,Echo,105.53,East,2026-02-28
60,Foxtrot,129.94,West,2026-03-01
61,Alpha,56.99,North,2026-03-02
62,Bravo,68.18,South,2026-03-03
63,Charlie,73,East,2026-03-04
64,Delta,79.05,West,2026-03-05
65,Echo,68.01,North,2026-03-06
66,Foxtrot,140.95,South,2026-03-07
67,Alpha,49.63,East,2026-03-08
68,Bravo,57.39,West,2026-03-09
69,Charlie,71.18,North,2026-03-10
70,Delta,93.66,South,2026-03-11
71,Echo,94.79,East,2026-03-12
72,Foxtrot,99.32,West,2026-03-13
73,Alpha,49.2,North,2026-03-14
74,Bravo,64.36,South,2026-03-15
75,Charlie,71.56,East,2026-03-16
76,Delta,93.66,West,2026-03-17
77,Echo,132.18,North,2026-03-18
78,Foxtrot,105.28,South,2026-03-19
79,Alpha,39.28,East,2026-03-20
80,Bravo,62.73,West,2026-03-21
81,Charlie,57.95,North,2026-03-22
82,Delta,75.33,South,2026-03-23
83,Echo,91.68,East,2026-03-24
84,Foxtrot,100.85,West,2026-03-25
85,Alpha,44.35,North,2026-03-26
86,Bravo,66.79,South,2026-03-27
87,Charlie,70.14,East,2026-03-28
88,Delta,101.55,West,2026-03-29
89,Echo,78.71,North,2026-03-30
90,Foxtrot,72.64,South,2026-03-31
91,Alpha,54.51,East,2026-04-01
92,Bravo,51.16,West,2026-04-02
93,Charlie,80.16,North,2026-04-03
94,Delta,105.92,South,2026-04-04
95,Echo,116.29,East,2026-04-05
96,Foxtrot,109.96,West,2026-04-06
97,Alpha,60.59,North,2026-04-07
98,Bravo,58.39,South,2026-04-08
99,Charlie,62.02,East,2026-04-09
100,Delta,98.8,West,2026-04-10
101,Echo,82.38,North,2026-04-11
102,Foxtrot,108.09,South,2026-04-12
103,Alpha,46.75,East,2026-04-13
