Captain,Player,Pick Order
torpid7#kitty,MeguFace#69,1
greenepic#NA1,lxtali Princess#Diva,2
Voidliss#NA1,Ene#TFT,3
SK Telecom T1#Faker,smile#dude,4
Kalesvol#DOOB,dogeempire#dog,5
Xemacs#LOR,police defunder#NA1,6
No Love#NA1,Bloodninja1122#NA1,7
DeMeatus#NA1,blizzardpenguin#NA1,8
DeMeatus#NA1,War Koala#1650,9
No Love#NA1,ˇchooˇ#hehe,10
Xemacs#LOR,一見鍾情#1314,11
Kalesvol#DOOB,KocLV#FREE,12
SK Telecom T1#Faker,kurose#pure,13
Voidliss#NA1,RichGamebuddy#NA1,14
greenepic#NA1,Smiley Quokka#Smile,15
torpid7#kitty,baober#bao,16
torpid7#kitty,Inspiring#309,17
greenepic#NA1,MENTAL MOUNTAIN#KEN,18
Voidliss#NA1,Taco1518#NA1,19
SK Telecom T1#Faker,rlylost#NA1,20
Kalesvol#DOOB,Arachnobat#LOR,21
Xemacs#LOR,SnuggleHero#NA1,22
No Love#NA1,PlightOfTheFlake#NA1,23
DeMeatus#NA1,A Gay Raccoon#RNG,24
DeMeatus#NA1,kingslayer#beep,25
No Love#NA1,sarcasm#riven,26
Xemacs#LOR,Zhangshi#9859,27
Kalesvol#DOOB,Limerence#CLNGY,28
SK Telecom T1#Faker,LightningFst#1008,29
Voidliss#NA1,maomer#bao,30
greenepic#NA1,herrypotta#713,31
torpid7#kitty,CloaknRaven#NA1,32
